provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,pulau,gk_category,gk_category_encoded,pulau_encoded,cluster,pca1,pca2,Cluster
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,0.29739336780373704,0,0,2,0,Sumatra,Rendah,1,5,0,-11213.720562675502,-16.338141547322607,0
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,0.3076216634598353,0,0,2,1,Sumatra,Rendah,1,5,0,-2782.720562692033,-16.320595426945527,0
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,0.3126138869949847,0,0,2,0,Sumatra,Rendah,1,5,0,1332.2794407436159,-16.310100543000008,0
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,0.3290221065120917,0,0,2,1,Sumatra,Rendah,1,5,0,14857.279440653394,-16.281986400969036,0
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,0.3019816033833081,0,0,0,0,Sumatra,Rendah,1,5,0,-7431.72056336503,-16.3306287542281,0
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,0.3132131964546114,0,0,0,1,Sumatra,Rendah,1,5,0,1826.2794366065064,-16.311366938148673,0
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,0.3240832627668686,0,0,0,0,Sumatra,Rendah,1,5,0,10786.279439972073,-16.2908206084016,0
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,0.3351923249567502,0,0,0,1,Sumatra,Rendah,1,5,0,19943.279439945007,-16.271768327105647,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,0.30067986441533356,0,0,1,0,Sumatra,Rendah,1,5,0,-8504.720563032082,-16.33268812648935,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,0.31162514770430505,0,0,1,1,Sumatra,Rendah,1,5,0,517.2794369428302,-16.31391591643865,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,0.32056990204808544,0,0,1,0,Sumatra,Rendah,1,5,0,7890.279440331331,-16.29666197977456,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,0.3336079157375752,0,0,1,1,Sumatra,Rendah,1,5,0,18637.279440281272,-16.274311081590177,0
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,0.34162095011173355,0,0,2,0,Sumatra,Rendah,1,5,0,25242.279443998297,-16.258483763633265,0
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,0.36304323035077796,0,0,2,1,Sumatra,Rendah,1,5,0,42900.27944384824,-16.22179529229418,0
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,0.36785469050640435,0,0,2,0,Sumatra,Rendah,1,5,0,46866.27944728604,-16.211609524019334,0
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,0.37821643563731827,0,0,2,1,Sumatra,Rendah,1,5,0,55407.27944726794,-16.19383519744243,0
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,0.342972429338503,0,0,0,0,Sumatra,Rendah,1,5,0,26356.27944334742,-16.25650600818552,0
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,0.3609310891175592,0,0,0,1,Sumatra,Rendah,1,5,0,41159.27944323869,-16.2257405250329,0
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915.0,0.3704484630260032,0,0,0,0,Sumatra,Rendah,1,5,0,49004.27944662038,-16.207507376311362,0
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463.0,0.38081870039622356,0,0,0,1,Sumatra,Rendah,1,5,0,57552.27944660216,-16.18971852752174,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,330958.0,0.3425975576319754,0,0,1,0,Sumatra,Rendah,1,5,0,26047.27944366925,-16.25698038465887,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,346552.0,0.3615158404526606,0,0,1,1,Sumatra,Rendah,1,5,0,41641.27944354911,-16.224573891469298,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,MARET,353291.0,0.3696914405506853,0,0,1,0,Sumatra,Rendah,1,5,0,48380.27944694675,-16.20863525235695,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,361835.0,0.38005682521273054,0,0,1,1,Sumatra,Rendah,1,5,0,56924.27944692859,-16.190854701974594,0
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040.0,0.3827318805942626,0,0,2,0,Sumatra,Rendah,1,5,0,59129.27945070923,-16.184155632010842,0
ACEH,MAKANAN,PERKOTAAN,2019,SEPTEMBER,377620.0,0.39920682484877745,0,0,2,1,Sumatra,Rendah,1,5,2,72709.27945061825,-16.155927386879956,2
ACEH,MAKANAN,PERKOTAAN,2020,MARET,398026.0,0.42396291560412575,0,0,2,0,Sumatra,Rendah,1,5,2,93115.27945381816,-16.111635164739774,2
ACEH,MAKANAN,PERKOTAAN,2020,SEPTEMBER,399504.0,0.42575599127483066,0,0,2,1,Sumatra,Rendah,1,5,2,94593.27945390221,-16.108513750793698,2
ACEH,MAKANAN,PERDESAAN,2019,MARET,372626.0,0.3931482186921466,0,0,0,0,Sumatra,Rendah,1,5,2,67715.27944995026,-16.166676451789264,2
ACEH,MAKANAN,PERDESAAN,2019,SEPTEMBER,387367.0,0.4110316614944885,0,0,0,1,Sumatra,Rendah,1,5,2,82456.27944984246,-16.136039593949274,2
ACEH,MAKANAN,PERDESAAN,2020,MARET,396615.0,0.422251122795354,0,0,0,0,Sumatra,Rendah,1,5,2,91704.27945320384,-16.11489577887901,2
ACEH,MAKANAN,PERDESAAN,2020,SEPTEMBER,397816.0,0.4237081484249322,0,0,0,1,Sumatra,Rendah,1,5,2,92905.2794532919,-16.112349029636142,2
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,MARET,370093.0,0.3900752412402551,0,0,1,0,Sumatra,Rendah,1,5,2,65182.27945030428,-16.17176474270279,2
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,384381.0,0.4074091148417653,0,0,1,1,Sumatra,Rendah,1,5,2,79470.27945020306,-16.142067679485734,2
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,MARET,397032.0,0.4227570176226097,0,0,1,0,Sumatra,Rendah,1,5,2,92121.27945351513,-16.11386399443349,2
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,398316.0,0.42431473694682154,0,0,1,1,Sumatra,Rendah,1,5,2,93405.27945360204,-16.111145053239838,2
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047.0,0.44825193319761925,0,0,2,0,Sumatra,Menengah,0,5,2,113136.27945995302,-16.06732850619395,2
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126.0,0.4580531905343074,0,0,2,1,Sumatra,Menengah,0,5,2,121215.27945994155,-16.050512645656323,2
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528.0,0.48523078266903796,0,0,2,0,Sumatra,Menengah,0,5,2,143617.2794631126,-16.00207951829016,2
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276.0,0.5249599044987031,0,0,2,1,Sumatra,Menengah,0,5,2,176365.27946274425,-15.93408530553818,2
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917.0,0.43474927270036223,0,0,0,0,Sumatra,Menengah,0,5,2,102006.27945947926,-16.090752175388975,2
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738.0,0.44423753035975544,0,0,0,1,Sumatra,Menengah,0,5,2,109827.27945947158,-16.07447156212004,2
