provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,gk_category,cluster,pca1,pca2
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,0.29739336780373704,0,0,2,0,Rendah,0,-11213.72056498815,-16.53141349716727
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,0.3076216634598353,0,0,2,1,Rendah,0,-2782.7205649670796,-16.513185306363273
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,0.3126138869949847,0,0,2,0,Rendah,0,1332.2794384869048,-16.50227077384982
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,0.3290221065120917,0,0,2,1,Rendah,0,14857.279438456986,-16.473063932700505
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,0.3019816033833081,0,0,0,0,Rendah,0,-7431.72056566074,-16.523610632077656
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,0.3132131964546114,0,0,0,1,Rendah,0,1826.2794343520654,-16.503600080881903
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,0.3240832627668686,0,0,0,0,Rendah,0,10786.279437757505,-16.482243545831533
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,0.3351923249567502,0,0,0,1,Rendah,0,19943.2794377713,-16.462450671056057
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,0.30067986441533356,0,0,1,0,Rendah,0,-8504.720565332624,-16.52574910113945
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,0.31162514770430505,0,0,1,1,Rendah,0,517.2794346825103,-16.506247179995036
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,0.32056990204808544,0,0,1,0,Rendah,0,7890.279438103898,-16.488310966518675
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,0.3336079157375752,0,0,1,1,Rendah,0,18637.279438101745,-16.465091304532944
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,0.34162095011173355,0,0,2,0,Rendah,0,25242.279441848164,-16.448636220433393
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,0.36304323035077796,0,0,2,1,Rendah,0,42900.27944177692,-16.41052188774949
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,0.36785469050640435,0,0,2,0,Rendah,0,46866.27944523236,-16.399928481836245
